temperature,humidity,soil_moisture,irrigation_needed
39.37,76.29,30.62,0
37.53,81.47,16.38,0
28.98,52.31,34.08,0
27.94,85.73,21.56,0
22.54,53.77,9.64,0
33.25,84.35,16.6,0
39.88,51.73,14.02,1
20.36,69.77,34.68,0
30.42,87.2,11.64,1
22.23,65.73,28.26,0
23.73,61.52,13.31,0
25.12,83.03,5.36,0
21.45,74.88,33.89,0
37.69,51.48,13.47,1
29.1,88.68,6.36,0
25.24,51.15,18.83,0
26.91,50.71,26.05,0
29.3,69.66,7.48,0
27.3,81.51,18.59,0
38.59,75.78,19.19,0
36.48,64.64,19.56,0
23.09,56.41,7.0,0
21.59,56.58,12.69,0
38.57,65.94,32.21,0
20.18,58.31,24.91,0
26.47,66.93,11.22,0
28.84,68.24,32.81,0
27.69,85.8,37.45,0
27.53,50.78,39.97,0
33.23,69.87,29.32,0
26.88,50.75,30.89,0
32.6,63.02,21.91,0
28.24,84.34,15.77,0
22.49,87.74,37.11,0
25.32,59.77,25.15,0
20.31,68.57,15.44,0
22.32,76.45,18.49,0
39.55,54.98,37.54,0
24.16,50.59,36.56,0
23.5,76.91,17.71,0
38.49,80.73,22.93,0
27.31,61.92,26.12,0
21.85,87.69,37.02,0
34.56,65.43,16.62,0
38.2,88.59,31.84,0
29.65,76.96,20.83,0
37.2,56.49,29.66,0
34.12,69.92,6.99,1
21.29,76.4,29.0,0
30.08,52.58,33.42,0
35.55,62.7,23.96,0
20.44,51.81,6.0,0
31.37,83.73,16.93,0
32.94,70.76,26.52,0
29.13,73.27,6.34,0
39.73,73.11,23.94,0
36.53,56.59,16.81,0
34.91,78.19,28.25,0
24.45,85.49,20.73,0
30.29,62.46,9.89,1
30.76,81.53,17.54,0
28.55,72.91,39.66,0
36.55,89.1,36.66,0
35.19,69.51,17.15,0
23.24,83.44,19.27,0
39.33,77.86,23.33,0
39.12,57.86,27.82,0
26.63,51.88,9.12,0
28.36,52.05,29.31,0
24.72,62.15,12.76,0
35.68,79.44,7.18,1
36.6,86.77,20.09,0
24.46,61.59,32.45,0
25.87,53.75,8.44,0
32.28,72.31,11.98,1
22.83,61.94,31.12,0
27.51,56.08,7.45,0
38.42,51.46,33.37,0
34.57,84.95,23.19,0
29.9,64.34,37.81,0
38.46,75.46,11.76,1
34.37,52.13,19.66,0
20.21,64.31,39.23,0
29.83,86.8,31.93,0
34.14,63.07,28.52,0
33.26,69.1,30.82,0
38.76,51.3,23.85,0
38.03,64.38,10.08,1
24.71,68.22,7.01,0
20.73,54.39,32.49,0
28.2,87.74,13.43,0
25.02,59.95,13.17,0
39.89,70.59,14.48,1
38.41,50.18,22.34,0
38.68,72.09,34.56,0
24.87,52.1,7.27,0
27.11,64.61,15.84,0
21.03,83.31,23.74,0
21.82,54.96,33.16,0
34.31,69.82,38.73,0
26.99,82.07,32.01,0
31.26,88.69,31.79,0
37.72,73.83,34.84,0
31.0,72.32,22.28,0
24.28,85.41,34.61,0
34.28,65.55,28.72,0
33.27,55.05,23.09,0
22.53,63.45,38.54,0
34.39,88.0,16.37,0
38.49,83.79,9.63,1
34.29,80.02,12.97,1
20.75,81.01,14.25,0
35.01,55.61,14.42,1
39.82,86.2,10.98,1
38.88,71.94,36.36,0
33.49,74.82,13.72,1
35.2,83.0,18.6,0
23.64,56.56,14.09,0
34.49,84.68,36.57,0
29.36,61.66,24.5,0
39.02,65.51,28.91,0
37.57,56.94,8.53,1
32.45,78.52,18.65,0
24.83,61.28,23.11,0
35.43,85.47,35.02,0
24.9,73.84,18.78,0
31.91,55.92,5.29,1
37.97,66.18,8.24,1
25.03,81.28,25.07,0
35.52,50.64,8.04,1
32.93,50.22,34.57,0
20.93,53.26,25.6,0
27.33,52.96,34.25,0
32.42,55.19,27.31,0
36.81,58.54,7.11,1
26.61,72.77,9.23,0
30.91,87.28,29.82,0
25.76,64.21,6.48,0
38.84,51.52,7.14,1
27.99,69.41,18.04,0
37.67,69.46,8.25,1
38.3,74.4,22.39,0
32.38,64.27,22.13,0
33.12,58.24,36.04,0
34.87,85.6,28.14,0
37.94,80.87,39.7,0
30.92,89.93,8.77,1
22.7,50.24,29.68,0
32.33,72.04,30.09,0
26.86,82.73,23.25,0
39.68,80.99,32.06,0
38.37,86.71,19.76,0
21.12,58.22,24.22,0
29.63,57.6,39.21,0
27.94,70.72,28.3,0
29.01,68.68,27.36,0
23.47,84.59,26.54,0
29.4,53.13,24.91,0
20.02,85.27,17.82,0
22.92,62.39,6.08,0
25.05,63.77,23.57,0
38.78,72.25,5.87,1
34.07,61.96,6.43,1
21.12,87.83,17.93,0
22.31,52.22,32.82,0
34.73,87.26,18.87,0
32.1,64.9,20.98,0
31.92,67.62,27.98,0
26.24,79.55,24.43,0
27.09,70.3,33.87,0
24.9,82.25,30.62,0
24.0,63.87,34.5,0
35.76,70.88,27.03,0
25.97,84.5,34.58,0
34.33,50.71,14.08,1
35.17,60.55,36.82,0
33.04,69.48,9.97,1
35.08,67.07,22.13,0
35.54,53.01,22.67,0
37.62,63.56,30.63,0
33.87,76.04,5.76,1
39.85,81.17,39.93,0
31.11,78.1,25.34,0
27.21,73.36,17.26,0
28.25,54.05,35.79,0
26.91,78.68,16.1,0
39.71,84.38,29.58,0
26.63,67.78,34.22,0
29.31,87.38,13.46,0
32.44,56.87,31.16,0
20.45,64.11,6.39,0
20.72,78.26,13.2,0
22.07,84.51,21.11,0
22.25,73.95,29.67,0
22.37,63.11,6.64,0
29.84,83.51,31.7,0
37.28,88.07,6.48,1
31.95,51.64,12.25,1
27.0,57.63,31.82,0
37.93,66.41,35.73,0
39.47,75.13,7.46,1
33.68,57.49,12.07,1
27.48,58.48,12.4,0
20.1,54.22,33.09,0
25.6,62.54,18.49,0
29.91,75.25,5.32,0
33.69,73.86,11.93,1
38.83,75.23,7.31,1
27.7,76.38,31.33,0
37.8,70.21,35.62,0
39.47,64.93,12.04,1
28.94,57.92,13.81,0
39.22,56.8,23.84,0
34.76,65.15,31.55,0
23.35,66.36,38.8,0
35.46,55.09,6.6,1
20.21,73.41,38.67,0
27.4,53.93,24.25,0
38.57,72.65,34.9,0
25.34,84.09,36.47,0
38.5,70.99,28.85,0
33.92,62.47,18.74,0
22.7,82.99,15.97,0
23.76,67.17,39.42,0
31.9,70.01,19.36,0
33.0,70.66,32.07,0
22.89,82.72,30.93,0
20.06,57.02,33.91,0
36.15,61.0,22.22,0
35.65,72.17,35.34,0
35.67,86.6,14.38,1
23.63,87.71,13.02,0
22.66,84.79,13.06,0
20.38,83.62,5.77,0
35.22,62.15,34.5,0
39.18,80.54,35.85,0
36.81,73.23,24.9,0
36.99,58.42,5.33,1
27.68,59.54,12.03,0
33.67,85.74,19.86,0
31.28,56.42,9.37,1
24.73,69.1,10.54,0
37.16,83.79,35.3,0
21.98,76.2,17.14,0
31.49,68.79,29.4,0
30.97,71.06,39.9,0
26.56,79.82,25.24,0
31.91,59.78,26.57,0
21.1,70.2,20.33,0
38.9,64.46,32.57,0
32.73,57.49,20.54,0
29.81,83.38,18.85,0
31.35,66.98,25.46,0
38.67,75.77,18.54,0
28.22,67.48,9.34,0
27.54,87.38,20.73,0
38.01,73.13,21.36,0
21.23,82.44,24.01,0
28.2,71.28,17.98,0
24.6,51.87,11.49,0
32.53,71.22,7.87,1
27.35,51.43,20.71,0
38.1,77.77,27.33,0
26.77,83.44,31.74,0
25.06,60.0,15.71,0
30.74,53.65,10.83,1
28.95,87.61,11.63,0
35.22,80.66,36.1,0
28.81,63.88,16.3,0
35.48,72.6,9.21,1
29.92,69.92,29.15,0
36.22,56.1,8.0,1
23.36,66.52,20.37,0
21.23,89.46,37.23,0
27.43,79.43,12.86,0
31.22,53.96,8.81,1
33.1,82.15,36.36,0
28.15,71.54,7.83,0
34.4,80.33,26.79,0
24.35,55.79,27.81,0
32.44,82.84,32.96,0
34.84,88.49,12.63,1
28.32,82.13,14.77,0
30.87,89.44,10.82,1
35.79,69.07,16.03,0
26.78,56.18,25.25,0
22.05,58.26,16.24,0
33.29,58.52,34.13,0
20.43,85.1,39.46,0
20.49,63.27,14.08,0
33.28,81.95,15.94,0
39.94,78.74,18.36,0
33.28,76.19,36.82,0
23.4,61.85,10.38,0
34.82,69.77,24.17,0
35.2,85.58,19.9,0
36.35,66.96,14.24,1
22.92,67.43,14.51,0
39.24,68.64,9.76,1
31.19,79.71,19.49,0
39.7,52.41,20.83,0
39.29,54.59,27.91,0
30.72,62.84,10.35,1
29.05,89.51,5.17,0
22.57,57.77,6.67,0
26.77,83.08,7.04,0
35.26,85.69,29.73,0
26.23,58.64,24.13,0
39.74,56.15,39.36,0
36.57,84.52,6.51,1
32.41,63.81,20.44,0
35.89,54.54,35.96,0
29.67,73.89,16.19,0
33.84,68.99,7.04,1
20.65,88.89,35.9,0
27.56,83.38,13.49,0
24.47,61.63,12.11,0
39.54,70.35,19.9,0
38.11,61.21,34.67,0
26.41,84.66,37.74,0
25.17,66.87,23.23,0
30.01,69.78,28.96,0
33.53,57.47,5.56,1
34.88,76.58,38.69,0
32.88,61.81,28.52,0
39.11,89.44,10.56,1
30.53,86.37,27.22,0
28.01,85.16,21.51,0
30.24,73.79,39.29,0
21.94,83.63,23.55,0
30.63,76.21,35.54,0
22.18,70.96,16.51,0
34.1,61.46,8.83,1
21.28,84.48,6.19,0
30.09,52.92,23.04,0
37.81,88.8,29.1,0
26.29,51.41,37.16,0
27.26,71.71,24.04,0
26.5,87.77,15.56,0
20.71,66.6,6.85,0
39.75,89.04,16.39,0
26.29,66.67,5.25,0
37.75,66.12,14.55,1
20.85,51.72,27.01,0
31.71,79.72,11.69,1
30.25,83.57,32.05,0
39.29,87.6,10.66,1
37.93,79.36,11.74,1
22.17,52.22,26.94,0
35.03,69.4,19.44,0
35.77,82.63,26.68,0
23.83,66.64,38.44,0
25.17,63.46,12.34,0
23.92,72.5,17.64,0
20.69,85.63,37.39,0
21.25,73.49,20.97,0
27.42,77.09,9.1,0
23.55,68.24,31.0,0
35.86,57.88,19.24,0
36.9,88.89,18.43,0
36.06,52.7,22.91,0
28.96,80.67,33.7,0
35.77,78.82,6.66,1
30.42,83.0,15.79,0
39.78,76.43,38.55,0
32.91,64.53,19.82,0
36.64,51.5,11.48,1
26.98,86.59,13.65,0
36.2,58.63,25.73,0
25.44,67.96,12.83,0
20.48,52.08,33.48,0
35.07,76.02,18.56,0
34.95,51.09,35.44,0
32.94,52.96,15.74,0
20.85,65.17,23.97,0
34.12,83.66,28.07,0
30.23,73.67,22.16,0
34.19,69.32,14.83,1
35.01,67.01,33.01,0
21.15,83.49,22.48,0
36.64,60.52,36.63,0
36.87,77.5,10.12,1
21.61,71.4,38.52,0
28.75,59.67,12.37,0
25.53,85.67,11.96,0
39.67,61.15,16.15,0
30.63,59.89,11.7,1
26.0,80.47,8.84,0
26.23,83.14,25.05,0
34.32,69.73,34.11,0
31.42,89.35,13.07,1
26.66,72.48,15.28,0
34.11,66.6,10.16,1
23.61,87.06,8.35,0
25.78,84.79,33.41,0
28.94,52.82,22.78,0
29.27,50.29,22.15,0
27.98,89.66,26.39,0
38.32,81.41,35.13,0
27.22,77.67,20.16,0
38.71,56.8,10.05,1
36.69,70.64,12.22,1
29.5,88.38,18.99,0
