Date,Ambient_Temperature,Humidity,Rainfall,Light_Intensity,Soil_Moisture,CO2_Emissions
2024-10-03,22.24024536256306,55.29190389508887,,556.172805131218,27.521108772254976,
2024-10-03,21.706763280909925,63.94918051173581,,596.1367212302714,14.835566151888916,
2024-10-03,21.180945559285547,67.83795648765081,,591.124626808531,17.086361974997438,
2024-10-04,22.593301942227185,58.1908110056612,,241.4124763779383,15.336156078582944,
2024-10-04,28.929001064000246,63.77203576821832,,444.4938296099551,39.82221602941021,
2024-10-04,24.36420868878257,46.392811452098336,,496.23303984208593,29.20836481534943,
2024-10-04,23.022894958221272,56.90621179183925,,454.63921437395226,16.351409451876588,
2024-10-05,20.1991857151318,56.3262169649808,,455.6989746013178,33.307696956004705,
2024-10-05,25.46764546847184,47.54417466418322,,635.0570336625123,12.722726094083018,
2024-10-05,27.63668532784915,65.61576853617763,,393.2477805158376,13.244641440291131,
2024-10-05,25.93062360229092,56.82434202030795,,482.25099981750736,24.998960131191488,
2024-10-06,23.994648082601124,58.53132772714595,,763.5381969363248,31.606610983776264,
2024-10-06,19.000491563586657,57.75413529301306,,436.3746794273101,23.526045611952632,
2024-10-06,19.739669989047524,47.508460278949656,,724.1481606697018,21.535296059923027,
2024-10-06,26.49079136127092,45.879799050110336,,561.1187449128007,23.78048857806465,
2024-10-07,27.295814207845424,52.06643944969609,,515.1991467931699,28.12275833847145,
2024-10-07,19.26392676469244,45.21420851771271,,800.7266096441854,22.281166928044687,
2024-10-07,23.63405834504201,40.83784536677513,,423.1442154692256,15.20503814406763,
2024-10-07,29.39285652160216,61.67028339323424,,203.4998926357084,39.2429306005678,
2024-10-08,22.373446831763303,40.67374637596763,,395.1885279888143,35.32985581724917,
2024-10-08,28.416181650877554,63.69918699110808,,735.681831364056,37.396984355779,
2024-10-08,20.530868169521906,47.25582510605044,,472.7790052478596,37.74516990437203,
2024-10-08,29.192802625598347,62.82887406115603,,427.2720750642514,32.70184017367443,
2024-10-09,24.28970893332943,50.56190134388186,,319.4868231179959,39.446354042325694,
